"fname","group","tot_dist","var_dist","frames_tracked"
"03_4A_15","before the drop",2.886,0.0385758896551724,30
"03_4A_17","after the drop",59.428,5.46758082298851,30
"03_4A_17","before the drop",69.254,3.57348115402299,30
"03_4D_05","after the drop",49.509,1.33336525172414,30
"03_4D_05","before the drop",58.712,2.91577620229885,30
"03_4D_07","after the drop",65.498,3.60857689195402,30
"03_4D_07","before the drop",62.267,3.3464790816092,30
"03_4D_09","after the drop",57.662,1.79681978850575,30
"03_4D_09","before the drop",79.83,5.13811993103448,30
"03_4D_11","after the drop",19.023,0.84538354137931,30
"03_4D_11","before the drop",19.435,0.790920281609195,30
"03_4D_13","after the drop",21.423,0.636198024137931,30
"03_4D_13","before the drop",57.174,3.02590630344828,30
"03_4D_15","after the drop",6.781,0.649318033333333,30
"03_4D_15","before the drop",5.328,0.274883420689655,30
"03_4D_17","after the drop",0.44,0.00321498850574713,30
"03_4D_17","before the drop",1.217,0.0120690816091954,30
"03_5D_05","after the drop",40.089,2.48499525172414,30
"03_5D_05","before the drop",43.127,2.95841384022988,30
"03_5D_07","after the drop",68.616,4.37274554482759,30
"03_5D_07","before the drop",55.637,4.08047356436782,30
"03_5D_09","after the drop",30.551,1.42491265402299,30
"03_5D_09","before the drop",40.489,1.86161720574713,30
"03_5D_11","after the drop",69.709,5.68444265402299,30
"03_5D_11","before the drop",37.936,2.70336722298851,30
"03_5D_13","after the drop",56.497,3.68442142643678,30
"03_5D_13","before the drop",93.775,4.94583048850575,30
"03_5D_15","after the drop",71.326,2.89293529195402,30
"03_5D_15","before the drop",49.977,3.38519402413793,30
"03_5D_17","after the drop",46.026,3.37484499310345,30
"03_5D_17","before the drop",52.967,4.04040777126437,30
"03_6B_05","after the drop",36.523,3.04495811609195,30
"03_6B_05","before the drop",21.638,0.868291650574713,30
"03_6B_07","after the drop",24.569,3.09619244712644,30
"03_6B_07","before the drop",17.284,0.845538533333333,30
"03_6B_09","after the drop",29.721,1.60650787241379,30
"03_6B_09","before the drop",21.156,2.23377147586207,30
"03_6B_11","after the drop",24.972,2.05652728275862,30
"03_6B_11","before the drop",30.416,4.1492003954023,30
"03_6B_13","after the drop",23.163,0.728996093103448,30
"03_6B_13","before the drop",43.289,3.30610582643678,30
"03_6B_15","after the drop",1.55,0.0431622298850575,30
"03_6B_15","before the drop",0,0,30
"03_6C_05","after the drop",12.116,0.364221843678161,30
"03_6C_05","before the drop",8.002,0.14730096091954,30
"03_6C_07","after the drop",17.409,1.83954504482759,30
"03_6C_07","before the drop",17.321,0.853249136781609,30
"03_6C_09","after the drop",6.379,0.11164286091954,30
"03_6C_09","before the drop",3.699,0.0806133206896552,30
"03_6C_11","after the drop",9.233,0.490229909195402,30
"03_6C_11","before the drop",11.416,1.25610736091954,30
"03_6C_13","after the drop",0.129,0.0005547,30
"03_6C_13","before the drop",0,0,30
"03_6C_15","after the drop",10.489,0.412873412643678,30
"03_6C_15","before the drop",13.404,0.397134648275862,30
"03_6C_17","after the drop",5.081,0.168903136781609,30
"03_6C_17","before the drop",14.403,0.64343905862069,30
"03_6D_05","after the drop",25.667,2.77798652988506,30
"03_6D_05","before the drop",14.123,0.277336529885057,30
"03_6D_07","after the drop",22.922,1.91443309885057,30
"03_6D_07","before the drop",21.683,2.22437542643678,30
"03_6D_09","after the drop",11.52,0.926395103448276,30
"03_6D_09","before the drop",8.143,0.357005426436782,30
"03_6D_11","after the drop",0,0,30
"03_6D_11","before the drop",0.417,0.00323409310344828,30
"03_6D_13","after the drop",0,0,30
"03_6D_13","before the drop",6.18,0.637754965517241,30
"03_6D_15","after the drop",0.311,0.00160486091954023,30
"03_6D_15","before the drop",1.682,0.0943041333333333,30
"03_6D_17","after the drop",0.129,0.0005547,30
"03_6D_17","before the drop",0.494,0.00488729195402299,30
"04_1C_05","after the drop",30.847,2.11937687471264,30
"04_1C_05","before the drop",95.071,4.56348196436782,30
"04_1C_07","after the drop",24.835,0.997203385057471,30
"04_1C_07","before the drop",7.299,0.0856463551724138,30
"04_1C_09","after the drop",23.207,2.51915784022989,30
"04_1C_09","before the drop",11.346,0.681210924137931,30
"04_1C_11","after the drop",8.109,0.475315044827586,30
"04_1C_11","before the drop",20.44,1.25321981609195,30
"04_1C_13","after the drop",16.505,2.72329379885057,30
"04_1C_13","before the drop",39.754,1.47393211954023,30
"04_1C_15","after the drop",12.117,0.426958851724138,30
"04_1C_15","before the drop",58.767,2.08867298965517,30
"04_1C_17","after the drop",23.292,5.10441266206897,30
"04_1C_17","before the drop",54.449,1.49563720574713,30
"04_1D_05","after the drop",9.932,0.0644777195402299,30
"04_1D_05","before the drop",18.503,0.38854721954023,30
"04_1D_07","after the drop",12.872,0.571127167816092,30
